Date_Only,Sector,Avg_Close_Price,Total_Volume
2024-06-12,Healthcare,316.3570640563965,101281400
2024-06-12,Industrials,215.25642910003663,55779743
2024-06-12,Technology,219.23027658462524,780351100
2024-06-13,Basic Materials,180.85966987609862,31642693
2024-06-13,Communication Services,131.90544809613908,122413192
2024-06-13,Consumer Cyclical,180.11516666412354,195288100
2024-06-13,Consumer Defensive,190.08229234483508,47607100
2024-06-13,Energy,103.57176475524902,65387500
2024-06-13,Financial Services,215.1900379180908,127442300
2024-06-13,Healthcare,316.60131216049194,115236500
2024-06-13,Industrials,214.49522790908813,60488242
2024-06-13,Technology,220.15769493579865,622274800
2024-06-14,Basic Materials,178.97289848327637,29477774
2024-06-14,Communication Services,132.3944031851632,126541298
2024-06-14,Consumer Cyclical,178.83508491516113,133144700
2024-06-14,Consumer Defensive,190.9001782735189,45631500
2024-06-14,Energy,102.97377147674561,64052400
2024-06-14,Financial Services,214.8329990386963,113970300
2024-06-14,Healthcare,316.85429220199586,102529800
2024-06-14,Industrials,213.14354009628295,61547991
2024-06-14,Technology,224.80714011192322,597057300
2024-06-17,Basic Materials,180.63205909729004,34061544
2024-06-17,Communication Services,133.07948548453194,160513869
2024-06-17,Consumer Cyclical,181.39745330810547,173958100
2024-06-17,Consumer Defensive,193.2507561577691,51715800
2024-06-17,Energy,103.5061538696289,69360000
2024-06-17,Financial Services,216.5216344833374,119933900
2024-06-17,Healthcare,316.9169586181641,106766700
2024-06-17,Industrials,215.15223426818847,68473637
2024-06-17,Technology,226.8311641216278,647387600
2024-06-18,Basic Materials,180.44196281433105,34778919
2024-06-18,Communication Services,131.97444234575545,146198508
2024-06-18,Consumer Cyclical,181.08056545257568,135571200
2024-06-18,Consumer Defensive,193.0657713148329,48813200
2024-06-18,Energy,103.60061855316162,75143200
2024-06-18,Financial Services,217.90167446136473,126493000
2024-06-18,Healthcare,316.38001050949094,106375500
2024-06-18,Industrials,215.80982780456543,58896547
2024-06-18,Technology,228.19351291656494,644962300
2024-06-20,Basic Materials,179.94662284851074,45011911
2024-06-20,Communication Services,132.56064414978027,138128421
2024-06-20,Consumer Cyclical,181.4156150817871,137905300
2024-06-20,Consumer Defensive,192.35806359185113,57312600
2024-06-20,Energy,105.3592155456543,81218100
2024-06-20,Financial Services,218.74923934936524,118528400
2024-06-20,Healthcare,316.930805015564,144824600
2024-06-20,Industrials,217.39460258483888,64068662
2024-06-20,Technology,227.45194351673126,927856700
2024-06-21,Basic Materials,180.19255905151368,79881568
2024-06-21,Communication Services,132.32831110273088,294509112
2024-06-21,Consumer Cyclical,183.3505620956421,201358300
2024-06-21,Consumer Defensive,191.4288084242079,110381100
2024-06-21,Energy,104.74885520935058,220699800
2024-06-21,Financial Services,218.13263397216798,290323500
2024-06-21,Healthcare,317.9198303222656,242089600
2024-06-21,Industrials,216.75421295166015,125046469
2024-06-21,Technology,228.4366729259491,1351483700
2024-06-24,Basic Materials,180.03429946899413,41904479
2024-06-24,Communication Services,132.72356251307897,162052298
2024-06-24,Consumer Cyclical,182.34214878082275,145766600
2024-06-24,Consumer Defensive,192.65223948160806,56996400
2024-06-24,Energy,106.79808654785157,83229100
2024-06-24,Financial Services,220.68716278076172,150462600
2024-06-24,Healthcare,320.8402455329895,121017400
2024-06-24,Industrials,217.4794424057007,69321125
2024-06-24,Technology,224.72504007816315,793598800
2024-06-25,Basic Materials,177.74430885314942,37092942
2024-06-25,Communication Services,135.1311468396868,137714018
2024-06-25,Consumer Cyclical,179.417631149292,149706700
2024-06-25,Consumer Defensive,192.584656185574,62945500
2024-06-25,Energy,107.33852882385254,63044400
2024-06-25,Financial Services,219.30643558502197,147973300
2024-06-25,Healthcare,320.5252336502075,101769600
2024-06-25,Industrials,215.22527675628663,75663608
2024-06-25,Technology,226.50837182998657,674890200
2024-06-26,Basic Materials,177.4887565612793,36882858
2024-06-26,Communication Services,135.51969391959054,151180360
2024-06-26,Consumer Cyclical,182.0001745223999,196438900
2024-06-26,Consumer Defensive,192.76042895846896,47162800
2024-06-26,Energy,106.53231086730958,65233700
2024-06-26,Financial Services,218.49430179595947,162072500
2024-06-26,Healthcare,319.9903429031372,109276200
2024-06-26,Industrials,217.32344818115234,76550608
2024-06-26,Technology,226.73228526115417,616387600
2024-06-27,Basic Materials,177.61301345825194,31966173
2024-06-27,Communication Services,136.72671944754464,119809504
2024-06-27,Consumer Cyclical,182.8137674331665,194802000
2024-06-27,Consumer Defensive,191.5282185872396,44764800
2024-06-27,Energy,106.53489418029785,58176500
2024-06-27,Financial Services,216.82934703826905,124159200
2024-06-27,Healthcare,319.20820751190183,117027800
2024-06-27,Industrials,217.46574478149415,69201105
2024-06-27,Technology,229.61827075481415,485065100
2024-06-28,Basic Materials,177.51507225036622,58688884
2024-06-28,Communication Services,133.75612286158972,221893756
2024-06-28,Consumer Cyclical,179.8066053390503,356257300
2024-06-28,Consumer Defensive,190.60359954833984,94881800
2024-06-28,Energy,107.27566261291504,106504700
2024-06-28,Financial Services,217.66875743865967,221092700
2024-06-28,Healthcare,319.8802060127258,236260900
2024-06-28,Industrials,218.183695602417,125345393
2024-06-28,Technology,231.35914182662964,706262900
2024-07-01,Basic Materials,174.45634078979492,27945978
2024-07-01,Communication Services,133.6698431287493,134307482
2024-07-01,Consumer Cyclical,179.55634117126465,241596900
2024-07-01,Consumer Defensive,189.09567642211914,45581400
2024-07-01,Energy,107.44556198120117,49281800
2024-07-01,Financial Services,218.22061557769774,129386200
2024-07-01,Healthcare,318.18961639404296,106260500
2024-07-01,Industrials,216.40699024200438,58788059
2024-07-01,Technology,232.56078803539276,550719300
2024-07-02,Basic Materials,174.95041198730468,32737217
2024-07-02,Communication Services,134.6489633832659,132592823
2024-07-02,Consumer Cyclical,182.00730514526367,299755500
2024-07-02,Consumer Defensive,190.97035386827258,42926800
2024-07-02,Energy,107.25050048828125,56919000
2024-07-02,Financial Services,220.358500289917,122927900
2024-07-02,Healthcare,316.70036458969116,96550600
2024-07-02,Industrials,217.06831455230713,57283006
2024-07-02,Technology,234.82239019870758,472201300
2024-07-03,Basic Materials,175.94543228149413,23065874
2024-07-03,Communication Services,134.93480818612235,69600686
2024-07-03,Consumer Cyclical,183.5133113861084,226478200
2024-07-03,Consumer Defensive,191.21290249294705,29194600
2024-07-03,Energy,107.56999778747559,33735100
2024-07-03,Financial Services,220.21010646820068,70527700
2024-07-03,Healthcare,313.6091806411743,60937600
2024-07-03,Industrials,217.25792675018312,27095989
2024-07-03,Technology,236.70751643180847,387839600
2024-07-05,Basic Materials,176.1649040222168,32526983
2024-07-05,Communication Services,139.90730040413993,138731137
2024-07-05,Consumer Cyclical,184.92313385009766,236194900
2024-07-05,Consumer Defensive,194.60019302368164,59711300
2024-07-05,Energy,105.45910205841065,51624500
2024-07-05,Financial Services,220.09482555389405,100103100
2024-07-05,Healthcare,315.8016663551331,84685500
2024-07-05,Industrials,216.28450126647948,49120573
2024-07-05,Technology,239.2214080095291,495333100
2024-07-08,Basic Materials,176.93339920043945,30372717
2024-07-08,Communication Services,138.05620411464147,120884886
2024-07-08,Consumer Cyclical,185.22420024871826,245483700
2024-07-08,Consumer Defensive,194.2883826361762,51580600
2024-07-08,Energy,104.31477928161621,47921300
2024-07-08,Financial Services,219.893408203125,109095800
2024-07-08,Healthcare,317.28903942108155,87454500
2024-07-08,Industrials,215.95165271759032,54564124
2024-07-08,Technology,239.16469621658325,554914600
2024-07-09,Basic Materials,175.88155269622803,28669153
2024-07-09,Communication Services,138.09294537135534,127106685
2024-07-09,Consumer Cyclical,185.45967292785645,242255300
2024-07-09,Consumer Defensive,194.31218719482422,46357500
2024-07-09,Energy,102.95057888031006,51602300
2024-07-09,Financial Services,221.95389308929444,129623900
2024-07-09,Healthcare,318.8286651611328,107345500
2024-07-09,Industrials,214.42009925842285,52857199
